plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day7_root
3_WT_controla_j,,,1,WT,0,0
3_WT_controla_j,,,2,WT,0,3.145
3_WT_controla_j,,,3,WT,0,0
3_WT_controla_j,,,4,WT,0,3.924
3_WT_controla_j,,,5,WT,0,0
3_WT_controla_j,,,6,WT,0,0
3_WT_controla_j,,,7,WT,0,0
3_WT_controla_j,,,8,WT,0,1.089
3_WT_controla_j,,,9,WT,0,5.102
3_WT_controla_j,,,10,WT,0,0
3_WT_controla_j,,,11,WT,0,0
3_WT_controla_j,,,12,WT,0,0
3_WT_controla_j,,,13,WT,0,0
3_WT_controla_j,,,14,WT,0,0.587
3_WT_controla_j,,,15,WT,0,0
3_WT_controla_j,,,16,WT,0,4.589
3_WT_controla_j,,,17,WT,0,0
3_WT_controla_j,,,18,WT,0,0.724
3_WT_controla_j,,,19,WT,0,2.044
3_WT_controla_j,,,20,WT,0,0
3_WT_controlb_j,,,1,WT,0,0
3_WT_controlb_j,,,2,WT,0,4.08
3_WT_controlb_j,,,3,WT,0,0
3_WT_controlb_j,,,4,WT,0,1.014
3_WT_controlb_j,,,5,WT,0,0
3_WT_controlb_j,,,6,WT,0,0
3_WT_controlb_j,,,7,WT,0,3.581
3_WT_controlb_j,,,8,WT,0,3.505
3_WT_controlb_j,,,9,WT,0,0
3_WT_controlb_j,,,10,WT,0,0
3_WT_controlb_j,,,11,WT,0,0
3_WT_controlb_j,,,12,WT,0,0
3_WT_controlb_j,,,13,WT,0,0
3_WT_controlb_j,,,14,WT,0,0
3_WT_controlb_j,,,15,WT,0,0
3_WT_controlb_j,,,16,WT,0,0
3_WT_controlb_j,,,17,WT,0,1.763
3_WT_controlb_j,,,18,WT,0,0
3_WT_controlb_j,,,19,WT,0,0
3_WT_controlb_j,,,20,WT,0,0
3_WT_2.5_j,3,j,1,WT,2.5,0
3_WT_2.5_j,3,j,2,WT,2.5,0.784
3_WT_2.5_j,3,j,3,WT,2.5,0.997
3_WT_2.5_j,3,j,4,WT,2.5,0
3_WT_2.5_j,3,j,5,WT,2.5,0.69
3_WT_2.5_j,3,j,6,WT,2.5,1.567
3_WT_2.5_j,3,j,7,WT,2.5,0
3_WT_2.5_j,3,j,8,WT,2.5,0
3_WT_2.5_j,3,j,9,WT,2.5,0.535
3_WT_2.5_j,3,j,10,WT,2.5,0
3_WT_2.5_j,3,j,11,WT,2.5,0
3_WT_2.5_j,3,j,12,WT,2.5,0
3_WT_2.5_j,3,j,13,WT,2.5,0
3_WT_2.5_j,3,j,14,WT,2.5,3.175
3_WT_2.5_j,3,j,15,WT,2.5,0
3_WT_2.5_j,3,j,16,WT,2.5,1.25
3_WT_2.5_j,3,j,17,WT,2.5,5.078
3_WT_2.5_j,3,j,18,WT,2.5,4.109
3_WT_2.5_j,3,j,19,WT,2.5,1.512
3_WT_2.5_j,3,j,20,WT,2.5,0
3_WT_5_j,3,j,1,WT,5,0.623
3_WT_5_j,3,j,2,WT,5,0
3_WT_5_j,3,j,3,WT,5,3.73
3_WT_5_j,3,j,4,WT,5,0
3_WT_5_j,3,j,5,WT,5,0.462
3_WT_5_j,3,j,6,WT,5,0
3_WT_5_j,3,j,7,WT,5,0
3_WT_5_j,3,j,8,WT,5,3.281
3_WT_5_j,3,j,9,WT,5,0
3_WT_5_j,3,j,10,WT,5,5.097
3_WT_5_j,3,j,11,WT,5, NG
3_WT_5_j,3,j,12,WT,5,0.208
3_WT_5_j,3,j,13,WT,5,0
3_WT_5_j,3,j,14,WT,5,0
3_WT_5_j,3,j,15,WT,5,0
3_WT_5_j,3,j,16,WT,5,4.054
3_WT_5_j,3,j,17,WT,5,4.476
3_WT_5_j,3,j,18,WT,5,5.733
3_WT_5_j,3,j,19,WT,5,0
3_WT_5_j,3,j,20,WT,5,5.064
3_WT_7.5_j,3,j,1,WT,7.5,0
3_WT_7.5_j,3,j,2,WT,7.5,0
3_WT_7.5_j,3,j,3,WT,7.5,0
3_WT_7.5_j,3,j,4,WT,7.5,0
3_WT_7.5_j,3,j,5,WT,7.5,0.316
3_WT_7.5_j,3,j,6,WT,7.5,0
3_WT_7.5_j,3,j,7,WT,7.5,0.415
3_WT_7.5_j,3,j,8,WT,7.5,0
3_WT_7.5_j,3,j,9,WT,7.5,0
3_WT_7.5_j,3,j,10,WT,7.5,0
3_WT_7.5_j,3,j,11,WT,7.5,3.501
3_WT_7.5_j,3,j,12,WT,7.5,0
3_WT_7.5_j,3,j,13,WT,7.5,3.256
3_WT_7.5_j,3,j,14,WT,7.5,0
3_WT_7.5_j,3,j,15,WT,7.5,0
3_WT_7.5_j,3,j,16,WT,7.5,0
3_WT_7.5_j,3,j,17,WT,7.5,1.322
3_WT_7.5_j,3,j,18,WT,7.5,
3_WT_7.5_j,3,j,19,WT,7.5,0.784
3_WT_7.5_j,3,j,20,WT,7.5,0.377
3_WT_10_j,3,j,1,WT,10,0
3_WT_10_j,3,j,2,WT,10,0
3_WT_10_j,3,j,3,WT,10,4.303
3_WT_10_j,3,j,4,WT,10,0
3_WT_10_j,3,j,5,WT,10,3.21
3_WT_10_j,3,j,6,WT,10,0
3_WT_10_j,3,j,7,WT,10,0
3_WT_10_j,3,j,8,WT,10,0
3_WT_10_j,3,j,9,WT,10,0
3_WT_10_j,3,j,10,WT,10,0
3_WT_10_j,3,j,11,WT,10,0
3_WT_10_j,3,j,12,WT,10,2.532
3_WT_10_j,3,j,13,WT,10,0
3_WT_10_j,3,j,14,WT,10,0
3_WT_10_j,3,j,15,WT,10,1.318
3_WT_10_j,3,j,16,WT,10,4.09
3_WT_10_j,3,j,17,WT,10,0
3_WT_10_j,3,j,18,WT,10,0
3_WT_10_j,3,j,19,WT,10,0
3_WT_10_j,3,j,20,WT,10,0
3_WT_10_j,3,j,21,WT,10,0
