plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day,date_time,root,,,,,,,,,,
1_WT_controla_m,1,m,1,WT,0,3,9/24/2021 10:19:00,0,,,,,,,,,,
1_WT_controla_m,1,m,2,WT,0,3,9/24/2021 10:19:00,0,,,,,,,,,,
1_WT_controla_m,1,m,3,WT,0,3,9/24/2021 10:19:00,0,,,,,,,,,,
1_WT_controla_m,1,m,4,WT,0,3,9/24/2021 10:19:00,0,,,,,,,,,,
1_WT_controla_m,1,m,5,WT,0,3,9/24/2021 10:19:00,0,,,,,,,,,,
1_WT_controla_m,1,m,6,WT,0,3,9/24/2021 10:19:00,0,,,,,,,,,,
1_WT_controla_m,1,m,7,WT,0,3,9/24/2021 10:19:00,0,,,,,,,,,,
1_WT_controla_m,1,m,8,WT,0,3,9/24/2021 10:19:00,0,,,,,,,,,,
1_WT_controla_m,1,m,9,WT,0,3,9/24/2021 10:19:00,0,,,,,,,,,,
1_WT_controla_m,1,m,10,WT,0,3,9/24/2021 10:19:00,0.749,,,,,,,,,,
1_WT_controla_m,1,m,11,WT,0,3,9/24/2021 10:19:00,0,,,,,,,,,,
1_WT_controla_m,1,m,12,WT,0,3,9/24/2021 10:19:00,0.75,,,,,,,,,,
1_WT_controla_m,1,m,13,WT,0,3,9/24/2021 10:19:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,1,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,2,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,3,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,4,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,5,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,6,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,7,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,8,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,9,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,10,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,11,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,12,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,13,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,14,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,15,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,16,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,17,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,18,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,19,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,20,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,1,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,2,WT,7.5,3,9/24/2021 10:53:00,0.578,,,,,,,,,,
1_WT_7.5_m,1,m,3,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,4,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,5,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,6,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,7,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,8,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,9,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,10,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,11,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,12,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,13,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,14,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,15,WT,7.5,3,9/24/2021 10:53:00,0.649,,,,,,,,,,
1_WT_7.5_m,1,m,16,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,17,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,18,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,19,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,20,WT,7.5,3,9/24/2021 10:53:00,0.69,,,,,,,,,,
1_KO_controla_m,1,M,1,KO,0,3,9/24/2021 10:53:00,1.263,,,,,,,,,,
1_KO_controla_m,1,M,2,KO,0,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_KO_controla_m,1,M,3,KO,0,3,9/24/2021 10:53:00,1.319,,,,,,,,,,
1_KO_controla_m,1,M,4,KO,0,3,9/24/2021 10:53:00,0.858,,,,,,,,,,
1_KO_controla_m,1,M,5,KO,0,3,9/24/2021 10:53:00,0.774,,,,,,,,,,
1_KO_controla_m,1,M,6,KO,0,3,9/24/2021 10:53:00,1.514,,,,,,,,,,
1_KO_controla_m,1,M,7,KO,0,3,9/24/2021 10:53:00,1.096,,,,,,,,,,
1_KO_controla_m,1,M,8,KO,0,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_KO_controla_m,1,M,9,KO,0,3,9/24/2021 10:53:00,1.179,,,,,,,,,,
1_KO_controla_m,1,M,10,KO,0,3,9/24/2021 10:53:00,0.625,,,,,,,,,,
1_KO_controla_m,1,M,11,KO,0,3,9/24/2021 10:53:00,0.943,,,,,,,,,,
1_KO_controla_m,1,M,12,KO,0,3,9/24/2021 10:53:00,1.212,,,,,,,,,,
1_KO_controla_m,1,M,13,KO,0,3,9/24/2021 10:53:00,0.634,,,,,,,,,,
1_KO_controla_m,1,M,14,KO,0,3,9/24/2021 10:53:00,1.076,,,,,,,,,,
1_KO_controla_m,1,M,15,KO,0,3,9/24/2021 10:53:00,1.247,,,,,,,,,,
1_KO_controla_m,1,M,16,KO,0,3,9/24/2021 10:53:00,0.42,,,,,,,,,,
1_KO_controla_m,1,M,17,KO,0,3,9/24/2021 10:53:00,1.017,,,,,,,,,,
1_KO_controla_m,1,M,18,KO,0,3,9/24/2021 10:53:00,1.181,,,,,,,,,,
1_KO_controla_m,1,M,19,KO,0,3,9/24/2021 10:53:00,1.175,,,,,,,,,,
1_KO_controla_m,1,M,20,KO,0,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_KO_controla_m,1,M,21,KO,0,3,9/24/2021 10:53:00,0.712,,,,,,,,,,
1_KO_controla_m,1,M,22,KO,0,3,9/24/2021 10:53:00,0.96,,,,,,,,,,
1_KO_controla_m,1,M,23,KO,0,3,9/24/2021 10:53:00,0.596,,,,,,,,,,
1_KO_controla_m,1,M,24,KO,0,3,9/24/2021 10:53:00,1.006,,,,,,,,,,
1_KO_controla_m,1,M,25,KO,0,3,9/24/2021 10:53:00,0.384,,,,,,,,,,
1_KO_controlb_m,1,M,1,KO,0,3,,,,,,,,,,,,
1_KO_controlb_m,1,M,2,KO,0,3,,,,,,,,,,,,
1_KO_controlb_m,1,M,3,KO,0,3,,,,,,,,,,,,
1_KO_controlb_m,1,M,4,KO,0,3,,,,,,,,,,,,
1_KO_controlb_m,1,M,5,KO,0,3,,,,,,,,,,,,
1_KO_controlb_m,1,M,6,KO,0,3,,,,,,,,,,,,
1_KO_controlb_m,1,M,7,KO,0,3,,,,,,,,,,,,
1_KO_controlb_m,1,M,8,KO,0,3,,,,,,,,,,,,
1_KO_controlb_m,1,M,9,KO,0,3,,,,,,,,,,,,
1_KO_controlb_m,1,M,10,KO,0,3,,,,,,,,,,,,
1_KO_controlb_m,1,M,11,KO,0,3,,,,,,,,,,,,
1_KO_controlb_m,1,M,12,KO,0,3,,,,,,,,,,,,
1_KO_controlb_m,1,M,13,KO,0,3,,,,,,,,,,,,
1_KO_controlb_m,1,M,14,KO,0,3,,,,,,,,,,,,
1_KO_controlb_m,1,M,15,KO,0,3,,,,,,,,,,,,
1_KO_controlb_m,1,M,16,KO,0,3,,,,,,,,,,,,
1_KO_controlb_m,1,M,17,KO,0,3,,,,,,,,,,,,
1_KO_controlb_m,1,M,18,KO,0,3,,,,,,,,,,,,
1_KO_controlb_m,1,M,19,KO,0,3,,,,,,,,,,,,
1_KO_controlb_m,1,M,20,KO,0,3,,,,,,,,,,,,
1_KO_7.5_M,1,M,1,KO,7.5,3,9/24/2021 10:17:00,0.569,,,,,,,,,,
1_KO_7.5_M,1,M,2,KO,7.5,3,9/24/2021 10:17:00,0.164,,,,,,,,,,
1_KO_7.5_M,1,M,3,KO,7.5,3,9/24/2021 10:17:00,0.595,,,,,,,,,,
1_KO_7.5_M,1,M,4,KO,7.5,3,9/24/2021 10:17:00,0.638,,,,,,,,,,
1_KO_7.5_M,1,M,5,KO,7.5,3,9/24/2021 10:17:00,0,,,,,,,,,,
1_KO_7.5_M,1,M,6,KO,7.5,3,9/24/2021 10:17:00,0.705,,,,,,,,,,
1_KO_7.5_M,1,M,7,KO,7.5,3,9/24/2021 10:17:00,0.4,,,,,,,,,,
1_KO_7.5_M,1,M,8,KO,7.5,3,9/24/2021 10:17:00,0.623,,,,,,,,,,
1_KO_7.5_M,1,M,9,KO,7.5,3,9/24/2021 10:17:00,0.668,,,,,,,,,,
1_KO_7.5_M,1,M,10,KO,7.5,3,9/24/2021 10:17:00,0,,,,,,,,,,
1_KO_7.5_M,1,M,11,KO,7.5,3,9/24/2021 10:17:00,0,,,,,,,,,,
1_KO_7.5_M,1,M,12,KO,7.5,3,9/24/2021 10:17:00,0.756,,,,,,,,,,
1_KO_7.5_M,1,M,13,KO,7.5,3,9/24/2021 10:17:00,0.794,,,,,,,,,,
1_KO_7.5_M,1,M,14,KO,7.5,3,9/24/2021 10:17:00,0.823,,,,,,,,,,
1_KO_7.5_M,1,M,15,KO,7.5,3,9/24/2021 10:17:00,0.511,,,,,,,,,,
1_KO_7.5_M,1,M,16,KO,7.5,3,9/24/2021 10:17:00,0.68,,,,,,,,,,
1_KO_7.5_M,1,M,17,KO,7.5,3,9/24/2021 10:17:00,0,,,,,,,,,,
1_KO_7.5_M,1,M,18,KO,7.5,3,9/24/2021 10:17:00,0.88,,,,,,,,,,
1_KO_7.5_M,1,M,19,KO,7.5,3,9/24/2021 10:17:00,0.622,,,,,,,,,,
1_KO_7.5_M,1,M,20,KO,7.5,3,9/24/2021 10:17:00,0,,,,,,,,,,
1_KO_7.5_M,1,M,21,KO,7.5,3,9/24/2021 10:17:00,0.584,,,,,,,,,,
1_KO_7.5_M,1,M,22,KO,7.5,3,9/24/2021 10:17:00,0.816,,,,,,,,,,
1_KO_7.5_M,1,M,23,KO,7.5,3,9/24/2021 10:17:00,0.492,,,,,,,,,,
1_KO_7.5_M,1,M,24,KO,7.5,3,9/24/2021 10:17:00,0.541,,,,,,,,,,
1_KO_7.5_M,1,M,25,KO,7.5,3,9/24/2021 10:17:00,0.573,,,,,,,,,,
1_WT_controla_m,1,M,1,WT,0,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_controla_m,1,M,2,WT,0,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_controla_m,1,M,3,WT,0,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_controla_m,1,M,4,WT,0,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_controla_m,1,M,5,WT,0,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_controla_m,1,M,6,WT,0,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_controla_m,1,M,7,WT,0,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_controla_m,1,M,8,WT,0,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_controla_m,1,M,9,WT,0,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_controla_m,1,M,10,WT,0,4,9/25/2021 11:29:00,1.996,,,,,,,,,,
1_WT_controla_m,1,M,11,WT,0,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_controla_m,1,M,12,WT,0,4,9/25/2021 11:29:00,2.116,,,,,,,,,,
1_WT_controla_m,1,M,13,WT,0,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,1,WT,0,4,9/25/2021 11:28:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,2,WT,0,4,9/25/2021 11:28:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,3,WT,0,4,9/25/2021 11:28:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,4,WT,0,4,9/25/2021 11:28:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,5,WT,0,4,9/25/2021 11:28:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,6,WT,0,4,9/25/2021 11:28:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,7,WT,0,4,9/25/2021 11:28:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,8,WT,0,4,9/25/2021 11:28:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,9,WT,0,4,9/25/2021 11:28:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,10,WT,0,4,9/25/2021 11:28:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,11,WT,0,4,9/25/2021 11:28:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,12,WT,0,4,9/25/2021 11:28:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,13,WT,0,4,9/25/2021 11:28:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,14,WT,0,4,9/25/2021 11:28:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,15,WT,0,4,9/25/2021 11:28:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,16,WT,0,4,9/25/2021 11:28:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,17,WT,0,4,9/25/2021 11:28:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,18,WT,0,4,9/25/2021 11:28:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,19,WT,0,4,9/25/2021 11:28:00,0,,,,,,,,,,
1_WT_controlb_m,1,M,20,WT,0,4,9/25/2021 11:28:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,1,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,2,WT,7.5,4,9/25/2021 11:29:00,0.873,,,,,,,,,,
1_WT_7.5_m,1,M,3,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,4,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,5,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,6,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,7,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,8,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,9,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,10,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,11,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,12,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,13,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,14,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,15,WT,7.5,4,9/25/2021 11:29:00,1.635,,,,,,,,,,
1_WT_7.5_m,1,M,16,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,17,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,18,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,19,WT,7.5,4,9/25/2021 11:29:00,0,,,,,,,,,,
1_WT_7.5_m,1,M,20,WT,7.5,4,9/25/2021 11:29:00,1.447,,,,,,,,,,
1_KO_controla_m,1,M,1,KO,0,4,9/25/2021 11:29:00,2.445,,,,,,,,,,
1_KO_controla_m,1,M,2,KO,0,4,9/25/2021 11:29:00,1.855,,,,,,,,,,
1_KO_controla_m,1,M,3,KO,0,4,9/25/2021 11:29:00,2.745,,,,,,,,,,
1_KO_controla_m,1,M,4,KO,0,4,9/25/2021 11:29:00,1.747,,,,,,,,,,
1_KO_controla_m,1,M,5,KO,0,4,9/25/2021 11:29:00,1.714,,,,,,,,,,
1_KO_controla_m,1,M,6,KO,0,4,9/25/2021 11:29:00,2.272,,,,,,,,,,
1_KO_controla_m,1,M,7,KO,0,4,9/25/2021 11:29:00,2.873,,,,,,,,,,
1_KO_controla_m,1,M,8,KO,0,4,9/25/2021 11:29:00,0.767,,,,,,,,,,
1_KO_controla_m,1,M,9,KO,0,4,9/25/2021 11:29:00,2.342,,,,,,,,,,
1_KO_controla_m,1,M,10,KO,0,4,9/25/2021 11:29:00,1.698,,,,,,,,,,
1_KO_controla_m,1,M,11,KO,0,4,9/25/2021 11:29:00,2.787,,,,,,,,,,
1_KO_controla_m,1,M,12,KO,0,4,9/25/2021 11:29:00,2.016,,,,,,,,,,
1_KO_controla_m,1,M,13,KO,0,4,9/25/2021 11:29:00,1.453,,,,,,,,,,
1_KO_controla_m,1,M,14,KO,0,4,9/25/2021 11:29:00,2.983,,,,,,,,,,
1_KO_controla_m,1,M,15,KO,0,4,9/25/2021 11:29:00,3.317,,,,,,,,,,
1_KO_controla_m,1,M,16,KO,0,4,9/25/2021 11:29:00,2.211,,,,,,,,,,
1_KO_controla_m,1,M,17,KO,0,4,9/25/2021 11:29:00,1.995,,,,,,,,,,
1_KO_controla_m,1,M,18,KO,0,4,9/25/2021 11:29:00,3.284,,,,,,,,,,
1_KO_controla_m,1,M,19,KO,0,4,9/25/2021 11:29:00,3.413,,,,,,,,,,
1_KO_controla_m,1,M,20,KO,0,4,9/25/2021 11:29:00,2.032,,,,,,,,,,
1_KO_controla_m,1,M,21,KO,0,4,9/25/2021 11:29:00,1.663,,,,,,,,,,
1_KO_controla_m,1,M,22,KO,0,4,9/25/2021 11:29:00,2.444,,,,,,,,,,
1_KO_controla_m,1,M,23,KO,0,4,9/25/2021 11:29:00,1.666,,,,,,,,,,
1_KO_controla_m,1,M,24,KO,0,4,9/25/2021 11:29:00,2.893,,,,,,,,,,
1_KO_controla_m,,M,25,KO,0,4,9/25/2021 11:29:00,1.529,,,,,,,,,,
1_KO_7.5_m,1,M,1,KO,7.5,4,9/25/2021 11:30:00,1.466,,,,,,,,,,
1_KO_7.5_m,1,M,2,KO,7.5,4,9/25/2021 11:30:00,1.377,,,,,,,,,,
1_KO_7.5_m,1,M,3,KO,7.5,4,9/25/2021 11:30:00,1.541,,,,,,,,,,
1_KO_7.5_m,1,M,4,KO,7.5,4,9/25/2021 11:30:00,1.573,,,,,,,,,,
1_KO_7.5_m,1,M,5,KO,7.5,4,9/25/2021 11:30:00,1.633,,,,,,,,,,
1_KO_7.5_m,1,M,6,KO,7.5,4,9/25/2021 11:30:00,1.631,,,,,,,,,,
1_KO_7.5_m,1,M,7,KO,7.5,4,9/25/2021 11:30:00,1.063,,,,,,,,,,
1_KO_7.5_m,1,M,8,KO,7.5,4,9/25/2021 11:30:00,1.56,,,,,,,,,,
1_KO_7.5_m,1,M,9,KO,7.5,4,9/25/2021 11:30:00,0.673,,,,,,,,,,
1_KO_7.5_m,1,M,10,KO,7.5,4,9/25/2021 11:30:00,1.601,,,,,,,,,,
1_KO_7.5_m,1,M,11,KO,7.5,4,9/25/2021 11:30:00,1.238,,,,,,,,,,
1_KO_7.5_m,1,M,12,KO,7.5,4,9/25/2021 11:30:00,1.149,,,,,,,,,,
1_KO_7.5_m,1,M,13,KO,7.5,4,9/25/2021 11:30:00,1.112,,,,,,,,,,
1_KO_7.5_m,1,M,14,KO,7.5,4,9/25/2021 11:30:00,1.561,,,,,,,,,,
1_KO_7.5_m,1,M,15,KO,7.5,4,9/25/2021 11:30:00,1.397,,,,,,,,,,
1_KO_7.5_m,1,M,16,KO,7.5,4,9/25/2021 11:30:00,1.236,,,,,,,,,,
1_KO_7.5_m,1,M,17,KO,7.5,4,9/25/2021 11:30:00,1.477,,,,,,,,,,
1_KO_7.5_m,1,M,18,KO,7.5,4,9/25/2021 11:30:00,1.622,,,,,,,,,,
1_KO_7.5_m,1,M,19,KO,7.5,4,9/25/2021 11:30:00,1.242,,,,,,,,,,
1_KO_7.5_m,1,M,20,KO,7.5,4,9/25/2021 11:30:00,1.126,,,,,,,,,,
